,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,villarrica,cl,-39.28,-72.23,40.76,100.0,88.0,2.71
1,albany,au,-35.02,117.88,50.03,93.0,76.0,4.61
2,kruisfontein,za,-34.0,24.73,66.32,65.0,0.0,9.19
3,portland,au,-33.35,149.98,29.78,78.0,0.0,0.81
4,upernavik,gl,72.79,-56.15,33.74,93.0,100.0,5.39
5,arraial do cabo,br,-22.97,-42.02,78.3,69.0,0.0,9.17
6,vaini,to,-21.2,-175.2,69.8,100.0,5.0,2.37
7,jamestown,sh,-15.94,-5.72,70.82,100.0,32.0,17.13
8,talnakh,ru,69.49,88.39,54.8,90.0,92.0,2.59
11,okhotsk,ru,59.36,143.24,45.17,100.0,92.0,13.67
12,nandurbar,in,21.36,74.24,84.23,64.0,76.0,7.63
13,belaya gora,ru,68.54,146.19,61.82,53.0,20.0,10.87
14,tuatapere,nz,-46.13,167.69,34.46,100.0,8.0,1.92
15,vao,nc,-22.67,167.48,71.63,100.0,64.0,14.0
17,butaritari,ki,3.07,172.79,83.6,100.0,88.0,7.74
18,bethel,us,60.79,-161.76,50.0,93.0,90.0,4.7
19,atuona,pf,-9.8,-139.03,81.08,99.0,56.0,14.0
20,busselton,au,-33.64,115.35,58.31,100.0,48.0,4.94
21,acapulco,mx,16.86,-99.88,82.4,78.0,75.0,2.24
22,miles city,us,46.41,-105.84,66.2,82.0,1.0,10.29
23,saldanha,za,-33.01,17.94,59.0,87.0,88.0,13.87
24,waddan,ly,29.16,16.14,95.12,24.0,0.0,4.83
25,hobart,au,-42.88,147.33,41.0,80.0,40.0,9.17
26,punta arenas,cl,-53.16,-70.91,33.89,100.0,40.0,19.46
27,aleksandrov gay,ru,50.14,48.57,81.89,24.0,0.0,14.9
28,cabo san lucas,mx,22.89,-109.91,75.36,64.0,20.0,6.93
29,namibe,ao,-15.19,12.15,69.02,100.0,12.0,5.61
30,carnarvon,au,-24.87,113.63,62.81,98.0,0.0,16.24
31,dudinka,ru,69.41,86.18,61.91,98.0,92.0,4.61
32,ponta do sol,cv,17.2,-25.09,72.98,100.0,8.0,13.56
33,bluff,nz,-46.6,168.33,43.73,100.0,92.0,6.17
34,leningradskiy,ru,69.38,178.42,30.68,94.0,24.0,12.33
36,hermanus,za,-34.42,19.24,61.01,61.0,8.0,14.0
37,capaci,it,38.17,13.24,77.0,69.0,20.0,3.36
38,ushuaia,ar,-54.81,-68.31,30.2,86.0,90.0,26.4
39,carutapera,br,-1.2,-46.02,84.32,79.0,56.0,10.09
40,baykit,ru,61.68,96.39,58.22,78.0,20.0,6.17
41,imbituba,br,-28.24,-48.67,73.4,46.0,0.0,8.05
43,pueblo nuevo,pa,9.16,-82.25,77.48,87.0,20.0,0.58
44,georgetown,sh,-7.93,-14.42,78.11,100.0,12.0,19.48
45,havoysund,no,71.0,24.66,46.4,87.0,75.0,9.17
46,lorengau,pg,-2.02,147.27,80.54,100.0,48.0,4.5
47,east london,za,-33.02,27.91,64.4,72.0,0.0,3.36
48,tuktoyaktuk,ca,69.44,-133.03,39.2,86.0,90.0,8.05
49,hambantota,lk,6.12,81.12,78.47,100.0,64.0,16.24
51,chokurdakh,ru,70.62,147.9,42.29,82.0,0.0,4.38
52,kaitangata,nz,-46.28,169.85,36.26,78.0,68.0,4.05
53,rikitea,pf,-23.12,-134.97,72.98,100.0,56.0,7.4
54,sal rei,cv,16.18,-22.92,79.81,65.0,75.0,17.22
55,esperance,au,-33.86,121.89,44.18,83.0,12.0,3.94
56,figeac,fr,44.61,2.03,84.38,54.0,75.0,11.41
57,kirakira,sb,-10.46,161.92,81.8,100.0,76.0,15.01
59,harer,et,9.31,42.13,86.0,40.0,75.0,18.34
61,mahibadhoo,mv,3.78,72.97,81.89,100.0,76.0,14.79
62,bartica,gy,6.41,-58.62,80.6,83.0,75.0,6.93
63,victoria,sc,-4.62,55.45,80.6,78.0,40.0,10.29
64,ungheni,md,47.2,27.8,87.8,38.0,20.0,2.24
65,guerrero negro,mx,27.97,-114.04,60.74,94.0,48.0,5.95
66,nikolskoye,ru,59.7,30.79,59.0,93.0,90.0,4.47
67,kapaa,us,22.08,-159.32,74.1,83.0,20.0,7.29
68,hilo,us,19.71,-155.08,55.0,73.0,1.0,6.93
70,mazagao,br,-0.12,-51.29,87.8,66.0,40.0,5.82
71,umm lajj,sa,25.02,37.27,96.83,47.0,0.0,19.26
72,castro,cl,-42.48,-73.76,44.81,100.0,92.0,6.96
73,avarua,ck,-21.21,-159.78,73.4,83.0,20.0,5.82
76,egvekinot,ru,66.32,-179.17,33.47,65.0,0.0,2.48
77,vila franca do campo,pt,37.72,-25.43,73.4,69.0,20.0,12.75
78,jinji,cn,22.16,112.49,80.99,87.0,36.0,4.83
79,saskylakh,ru,71.97,114.09,56.24,84.0,88.0,15.01
80,port macquarie,au,-31.43,152.91,51.8,93.0,75.0,6.93
81,prokhorovka,ru,51.03,36.73,82.4,34.0,0.0,4.47
82,port alfred,za,-33.59,26.89,70.37,63.0,0.0,8.52
83,torbay,ca,47.66,-52.73,69.8,40.0,75.0,26.4
84,barrhead,ca,54.12,-114.4,68.48,70.0,44.0,4.72
85,westport,nz,-41.75,171.6,33.56,100.0,0.0,3.83
86,caracoli,co,8.13,-76.58,77.0,88.0,75.0,3.36
88,grand gaube,mu,-20.01,57.66,75.2,83.0,75.0,3.36
89,hasaki,jp,35.73,140.83,66.2,100.0,75.0,1.12
90,itoman,jp,26.12,127.67,82.4,88.0,75.0,11.41
91,bagdarin,ru,54.44,113.59,54.71,70.0,0.0,3.15
93,constitucion,mx,23.99,-104.67,66.2,72.0,20.0,3.36
95,tahta,eg,26.77,31.5,102.2,20.0,0.0,13.87
96,saquisili,ec,-0.83,-78.67,52.75,71.0,75.0,10.29
97,balingasay,ph,16.36,119.86,76.04,100.0,64.0,4.61
99,sibolga,id,1.74,98.78,73.97,93.0,48.0,1.03
100,mahebourg,mu,-20.41,57.7,75.2,83.0,75.0,6.93
101,college,us,64.86,-147.8,63.14,52.0,1.0,6.93
102,husavik,is,66.04,-17.34,59.0,54.0,40.0,19.46
103,nemuro,jp,43.32,145.57,52.64,96.0,88.0,14.12
104,adrar,dz,27.87,-0.29,109.4,13.0,0.0,16.11
105,cape town,za,-33.93,18.42,59.0,72.0,75.0,5.82
107,edd,er,13.93,41.69,99.71,18.0,56.0,8.86
108,port shepstone,za,-30.74,30.45,72.62,71.0,0.0,19.82
109,cascais,pt,38.7,-9.42,82.42,54.0,20.0,12.75
110,biak,id,-0.91,122.88,76.4,100.0,76.0,4.27
111,nishihara,jp,35.74,139.53,69.03,100.0,1.0,3.04
112,heinola,fi,61.2,26.03,60.8,72.0,75.0,9.17
114,aksu,cn,41.12,80.26,62.81,54.0,44.0,4.38
115,luderitz,na,-26.65,15.16,63.26,68.0,0.0,16.02
116,kogon,uz,39.73,64.54,89.6,14.0,0.0,4.7
117,saint george,bm,32.38,-64.68,82.4,69.0,20.0,20.8
